Utility,Nr_options,RT_options
dir,108,"['-cftuvSUX', '--sort', '-a', '--all', '-A', '--almost', '-all', '--author', '-l', '-b', '--escape', '-style', '--block', '-size', '-l', '--block', '-size', '-B', '--ignore', '-backups', '-c', '-lt', '-l', '-C', '--color', '-d', '--directory', '-D', '--dired', '-f', '-F', '--classify', '--file', '-type', '--format', '-x', '-m', '-x', '-l', '-column', '-1', '-l', '-C', '--full', '-time', '-l', '--time', '-style', '-iso', '-g', '-l', '--group', '-directories', '-first', '--sort', '--sort', '-U', '-G', '--no', '-group', '-h', '--human', '-readable', '-l', '-s', '--si', '-H', '--dereference', '-command', '-line', '--dereference', '-command', '-line', '-symlink', '-to', '-dir', '--hide', '-a', '-A', '--hyperlink', '--indicator', '-style', '-p', '-type', '--file', '-type', '-F', '-i', '--inode', '-I', '--ignore', '-k', '--kibibytes', '-byte', '-s', '-l', '-L', '--dereference', '-m', '-n', '--numeric', '-uid', '-gid', '-l', '-N', '--literal', '-o', '-l', '-p', '--indicator', '-style', '-q', '--hide', '-control', '-chars', '--show', '-control', '-chars', '-is', '-Q', '--quote', '-name', '--quoting', '-style', '-always', '-escape', '-escape', '-always', '-r', '--reverse', '-R', '--recursive', '-s', '--size', '-S', '--sort', '-U', '-S', '-t', '-v', '-X', '--time', '-u', '-c', '-l', '--sort', '--time', '-style', '-l', '-t', '--time', '-T', '--tabsize', '-u', '-lt', '-l', '-U', '-v', '-w', '--width', '-x', '-X', '-Z', '--context', '--zero', '-1', '--help', '--version', '-iso', '-iso', '-recent', '--color', '--color', '-line']"
mkdir,10,"['-m', '--mode', '-p', '--parents', '-m', '-v', '--verbose', '-Z', '--context', '-Z', '--help', '--version']"
readlink,19,"['-f', '--canonicalize', '-e', '--canonicalize', '-existing', '-m', '--canonicalize', '-missing', '-n', '--no', '-newline', '-q', '--quiet', '-s', '--silent', '-v', '--verbose', '-z', '--zero', '--help', '--version']"
rm,22,"['-f', '--force', '-i', '-I', '-i', '--interactive', '-I', '-i', '--one', '-file', '-system', '--no', '-preserve', '-root', '--preserve', '-root', '-r', '-R', '--recursive', '-d', '--dir', '-v', '--verbose', '--help', '--version', '--recursive', '-r', '-R', '-foo', '-foo', '-foo']"
base64,10,"['-d', '--decode', '-i', '--ignore', '-garbage', '-alphabet', '-w', '--wrap', '--help', '--version', '--ignore', '-garbage', '-alphabet']"
fmt,21,"['-WIDTH', '-WIDTH', '--width', '-c', '--crown', '-margin', '-p', '--prefix', '-s', '--split', '-only', '-t', '--tagged', '-paragraph', '-u', '--uniform', '-spacing', '-w', '--width', '-g', '--goal', '--help', '--version']"
printf,3,"['--help', '--version', '-printable']"
id,18,"['-a', '-Z', '--context', '-g', '--group', '-G', '--groups', '-n', '--name', '-ugG', '-r', '--real', '-ugG', '-u', '--user', '-z', '--zero', '--help', '--version']"
vdir,108,"['-cftuvSUX', '--sort', '-a', '--all', '-A', '--almost', '-all', '--author', '-l', '-b', '--escape', '-style', '--block', '-size', '-l', '--block', '-size', '-B', '--ignore', '-backups', '-c', '-lt', '-l', '-C', '--color', '-d', '--directory', '-D', '--dired', '-f', '-F', '--classify', '--file', '-type', '--format', '-x', '-m', '-x', '-l', '-column', '-1', '-l', '-C', '--full', '-time', '-l', '--time', '-style', '-iso', '-g', '-l', '--group', '-directories', '-first', '--sort', '--sort', '-U', '-G', '--no', '-group', '-h', '--human', '-readable', '-l', '-s', '--si', '-H', '--dereference', '-command', '-line', '--dereference', '-command', '-line', '-symlink', '-to', '-dir', '--hide', '-a', '-A', '--hyperlink', '--indicator', '-style', '-p', '-type', '--file', '-type', '-F', '-i', '--inode', '-I', '--ignore', '-k', '--kibibytes', '-byte', '-s', '-l', '-L', '--dereference', '-m', '-n', '--numeric', '-uid', '-gid', '-l', '-N', '--literal', '-o', '-l', '-p', '--indicator', '-style', '-q', '--hide', '-control', '-chars', '--show', '-control', '-chars', '-is', '-Q', '--quote', '-name', '--quoting', '-style', '-always', '-escape', '-escape', '-always', '-r', '--reverse', '-R', '--recursive', '-s', '--size', '-S', '--sort', '-U', '-S', '-t', '-v', '-X', '--time', '-u', '-c', '-l', '--sort', '--time', '-style', '-l', '-t', '--time', '-T', '--tabsize', '-u', '-lt', '-l', '-U', '-v', '-w', '--width', '-x', '-X', '-Z', '--context', '--zero', '-1', '--help', '--version', '-iso', '-iso', '-recent', '--color', '--color', '-line']"
cat,24,"['-A', '--show', '-all', '-vET', '-b', '--number', '-nonblank', '-n', '-e', '-vE', '-E', '--show', '-ends', '-n', '--number', '-s', '--squeeze', '-blank', '-t', '-vT', '-T', '--show', '-tabs', '-u', '-v', '--show', '-nonprinting', '--help', '--version']"
